"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.36127,1,0.040667,0.040667,0.15,0
0.36127,1,0.041,0.041,0.15,0
0.36127,1,0.041333,0.041333,0.15,0
0.36127,1,0.041667,0.041667,0.15,0
0.36127,1,0.042,0.042,0.15,0
0.36127,1,0.042333,0.042333,0.15,0
0.36127,1,0.042667,0.042667,0.15,0
0.36127,1,0.043,0.043,0.15,0
0.36127,1,0.043333,0.043333,0.15,0
0.36127,1,0.043667,0.043667,0.15,0
0.36127,1,0.044,0.044,0.15,0
0.36127,1,0.044333,0.044333,0.15,0
0.36127,1,0.044667,0.044667,0.15,0
0.36127,1,0.045,0.045,0.15,0
0.36127,1,0.045333,0.045333,0.15,0
0.36127,1,0.045667,0.045667,0.15,0
0.36127,1,0.046,0.046,0.15,0
0.36127,1,0.046333,0.046333,0.15,0
0.36127,1,0.046667,0.046667,0.15,0
0.36127,1,0.047,0.047,0.15,0
0.36127,1,0.047333,0.047333,0.15,0
0.36127,1,0.047667,0.047667,0.15,0
0.36127,1,0.048,0.048,0.15,0
0.36127,1,0.048333,0.048333,0.15,0
0.36127,1,0.048667,0.048667,0.15,0
0.36127,1,0.049,0.049,0.15,0
0.36127,1,0.049333,0.049333,0.15,0
0.36127,1,0.049667,0.049667,0.15,0
0.26972,1,0.05,0.05,0.15,0
0.25436,1,0.050333,0.050333,0.15,0
0.25436,1,0.050667,0.050667,0.15,0
0.25436,1,0.051,0.051,0.15,0
0.25436,1,0.051333,0.051333,0.15,0
0.25436,1,0.051667,0.051667,0.15,0
0.25436,1,0.052,0.052,0.15,0
0.25436,1,0.052333,0.052333,0.15,0
0.25436,1,0.052667,0.052667,0.15,0
0.25436,1,0.053,0.053,0.15,0
0.25436,1,0.053333,0.053333,0.15,0
0.25436,1,0.053667,0.053667,0.15,0
0.25436,1,0.054,0.054,0.15,0
0.25436,1,0.054333,0.054333,0.15,0
0.25436,1,0.054667,0.054667,0.15,0
0.25436,1,0.055,0.055,0.15,0
0.25436,1,0.055333,0.055333,0.15,0
0.25436,1,0.055667,0.055667,0.15,0
0.25436,1,0.056,0.056,0.15,0
0.25436,1,0.056333,0.056333,0.15,0
0.25436,1,0.056667,0.056667,0.15,0
0.25436,1,0.057,0.057,0.15,0
0.25436,1,0.057333,0.057333,0.15,0
0.25436,1,0.057667,0.057667,0.15,0
0.25436,1,0.058,0.058,0.15,0
0.25436,1,0.058333,0.058333,0.15,0
0.25436,1,0.058667,0.058667,0.15,0
0.25436,1,0.059,0.059,0.15,0
0.25436,1,0.059333,0.059333,0.15,0
0.25436,1,0.059667,0.059667,0.15,0
0.25436,1,0.06,0.06,0.15,0
0.25436,1,0.060333,0.060333,0.15,0
0.25436,1,0.060667,0.060667,0.15,0
0.25436,1,0.061,0.061,0.15,0
0.25436,1,0.061333,0.061333,0.15,0
0.25436,1,0.061667,0.061667,0.15,0
0.25436,1,0.062,0.062,0.15,0
0.25436,1,0.062333,0.062333,0.15,0
0.25436,1,0.062667,0.062667,0.15,0
0.25436,1,0.063,0.063,0.15,0
0.25436,1,0.063333,0.063333,0.15,0
0.25436,1,0.063667,0.063667,0.15,0
0.25436,1,0.064,0.064,0.15,0
0.25436,1,0.064333,0.064333,0.15,0
0.25436,1,0.064667,0.064667,0.15,0
0.25436,1,0.065,0.065,0.15,0
0.25436,1,0.065333,0.065333,0.15,0
0.25436,1,0.065667,0.065667,0.15,0
0.25436,1,0.066,0.066,0.15,0
0.25436,1,0.066333,0.066333,0.15,0
0.19114,1,0.066667,0.066667,0.15,0
0.19114,1,0.067,0.067,0.15,0
0.19114,1,0.067333,0.067333,0.15,0
0.19114,1,0.067667,0.067667,0.15,0
0.19114,1,0.068,0.068,0.15,0
0.19114,1,0.068333,0.068333,0.15,0
0.19114,1,0.068667,0.068667,0.15,0
0.19114,1,0.069,0.069,0.15,0
0.19114,1,0.069333,0.069333,0.15,0
0.19114,1,0.069667,0.069667,0.15,0
0.19114,1,0.07,0.07,0.15,0
0.19114,1,0.070333,0.070333,0.15,0
0.19114,1,0.070667,0.070667,0.15,0
0.19114,1,0.071,0.071,0.15,0
0.19114,1,0.071333,0.071333,0.15,0
0.19114,1,0.071667,0.071667,0.15,0
0.19114,1,0.072,0.072,0.15,0
0.19114,1,0.072333,0.072333,0.15,0
0.19114,1,0.072667,0.072667,0.15,0
0.19114,1,0.073,0.073,0.15,0
0.19114,1,0.073333,0.073333,0.15,0
0.19114,1,0.073667,0.073667,0.15,0
0.19114,1,0.074,0.074,0.15,0
0.19114,1,0.074333,0.074333,0.15,0
0.19114,1,0.074667,0.074667,0.15,0
0.19114,1,0.075,0.075,0.15,0
0.19114,1,0.075333,0.075333,0.15,0
0.19114,1,0.075667,0.075667,0.15,0
0.19114,1,0.076,0.076,0.15,0
0.19114,1,0.076333,0.076333,0.15,0
0.19114,1,0.076667,0.076667,0.15,0
0.19114,1,0.077,0.077,0.15,0
0.19114,1,0.077333,0.077333,0.15,0
0.19114,1,0.077667,0.077667,0.15,0
0.19114,1,0.078,0.078,0.15,0
0.19114,1,0.078333,0.078333,0.15,0
0.19114,1,0.078667,0.078667,0.15,0
0.19114,1,0.079,0.079,0.15,0
0.19114,1,0.079333,0.079333,0.15,0
0.19114,1,0.079667,0.079667,0.15,0
0.19114,1,0.08,0.08,0.15,0
0.19114,1,0.080333,0.080333,0.15,0
0.19114,1,0.080667,0.080667,0.15,0
0.19114,1,0.081,0.081,0.15,0
0.19114,1,0.081333,0.081333,0.15,0
0.19114,1,0.081667,0.081667,0.15,0
0.19114,1,0.082,0.082,0.15,0
0.19114,1,0.082333,0.082333,0.15,0
0.19114,1,0.082667,0.082667,0.15,0
0.19114,1,0.083,0.083,0.15,0
0.090109,1,0.083333,0.083333,0.15,0
0.081744,1,0.083667,0.083667,0.15,0
0.081744,1,0.084,0.084,0.15,0
0.081744,1,0.084333,0.084333,0.15,0
0.081744,1,0.084667,0.084667,0.15,0
0.081744,1,0.085,0.085,0.15,0
0.081744,1,0.085333,0.085333,0.15,0
0.081744,1,0.085667,0.085667,0.15,0
0.081744,1,0.086,0.086,0.15,0
0.081744,1,0.086333,0.086333,0.15,0
0.081744,1,0.086667,0.086667,0.15,0
0.081744,1,0.087,0.087,0.15,0
0.081744,1,0.087333,0.087333,0.15,0
0.081744,1,0.087667,0.087667,0.15,0
0.081744,1,0.088,0.088,0.15,0
0.081744,1,0.088333,0.088333,0.15,0
0.081744,1,0.088667,0.088667,0.15,0
0.081744,1,0.089,0.089,0.15,0
0.081744,1,0.089333,0.089333,0.15,0
